1376452892 2013-08-14 00:01 100
1376453786 2013-08-14 00:16 100
1376454679 2013-08-14 00:31 99
1376455581 2013-08-14 00:46 100
1376456474 2013-08-14 01:01 100
1376457367 2013-08-14 01:16 100
1376458261 2013-08-14 01:31 100
1376459155 2013-08-14 01:45 100
1376460048 2013-08-14 02:00 100
1376460941 2013-08-14 02:15 100
1376461835 2013-08-14 02:30 100
1376462728 2013-08-14 02:45 100
1376463621 2013-08-14 03:00 99
1376464524 2013-08-14 03:15 100
1376465417 2013-08-14 03:30 100
1376466310 2013-08-14 03:45 100
1376467204 2013-08-14 04:00 100
1376468097 2013-08-14 04:14 100
1376468992 2013-08-14 04:29 100
1376469886 2013-08-14 04:44 100
1376470779 2013-08-14 04:59 100
1376471672 2013-08-14 05:14 100
1376472566 2013-08-14 05:29 100
1376473459 2013-08-14 05:44 100
1376474352 2013-08-14 05:59 100
